Match_Id,Team_Batting_Id,Striker_Id,Runs_scored
335987.0,1.0,1.0,10.0
335987.0,1.0,2.0,158.0
335987.0,1.0,3.0,20.0
335987.0,1.0,4.0,12.0
335987.0,1.0,5.0,5.0
335987.0,2.0,6.0,2.0
335987.0,2.0,7.0,6.0
335987.0,2.0,8.0,1.0
335987.0,2.0,9.0,8.0
335987.0,2.0,10.0,6.0
335987.0,2.0,11.0,7.0
335987.0,2.0,12.0,0.0
335987.0,2.0,13.0,9.0
335987.0,2.0,14.0,18.0
335987.0,2.0,15.0,3.0
335987.0,2.0,16.0,3.0
335988.0,3.0,17.0,15.0
335988.0,3.0,18.0,25.0
335988.0,3.0,19.0,116.0
335988.0,3.0,20.0,2.0
335988.0,3.0,21.0,32.0
335988.0,3.0,22.0,13.0
335988.0,3.0,23.0,31.0
335988.0,4.0,24.0,24.0
335988.0,4.0,25.0,71.0
335988.0,4.0,26.0,54.0
335988.0,4.0,27.0,23.0
335988.0,4.0,28.0,21.0
335988.0,4.0,29.0,3.0
335989.0,5.0,30.0,7.0
335989.0,5.0,31.0,10.0
335989.0,5.0,32.0,17.0
335989.0,5.0,33.0,9.0
335989.0,5.0,34.0,1.0
335989.0,5.0,35.0,29.0
335989.0,5.0,36.0,2.0
335989.0,5.0,37.0,26.0
335989.0,5.0,38.0,14.0
335989.0,5.0,39.0,3.0
335989.0,6.0,40.0,58.0
335989.0,6.0,41.0,12.0
335989.0,6.0,42.0,52.0
335990.0,7.0,43.0,8.0
335990.0,7.0,44.0,29.0
335990.0,7.0,45.0,0.0
335990.0,7.0,46.0,48.0
335990.0,7.0,47.0,19.0
335990.0,7.0,48.0,20.0
335990.0,7.0,49.0,28.0
335990.0,7.0,50.0,2.0
335990.0,2.0,51.0,16.0
335990.0,2.0,6.0,32.0
335990.0,2.0,52.0,23.0
335990.0,2.0,9.0,25.0
335990.0,2.0,8.0,23.0
335990.0,2.0,11.0,39.0
335990.0,2.0,12.0,3.0
335991.0,8.0,53.0,23.0
335991.0,8.0,54.0,14.0
335991.0,8.0,55.0,0.0
335991.0,8.0,56.0,32.0
335991.0,8.0,57.0,0.0
335991.0,8.0,58.0,6.0
335991.0,8.0,232.0,10.0
335991.0,8.0,59.0,14.0
335991.0,8.0,60.0,0.0
335991.0,8.0,61.0,1.0
335991.0,1.0,62.0,10.0
335991.0,1.0,2.0,5.0
335991.0,1.0,3.0,0.0
335991.0,1.0,1.0,14.0
335991.0,1.0,4.0,38.0
335991.0,1.0,5.0,13.0
335991.0,1.0,63.0,4.0
335992.0,4.0,24.0,26.0
335992.0,4.0,25.0,16.0
335992.0,4.0,26.0,20.0
335992.0,4.0,64.0,2.0
335992.0,4.0,27.0,57.0
335992.0,4.0,29.0,12.0
335992.0,4.0,65.0,4.0
335992.0,4.0,66.0,0.0
335992.0,4.0,67.0,24.0
335992.0,4.0,68.0,1.0
335992.0,5.0,33.0,5.0
335992.0,5.0,31.0,7.0
335992.0,5.0,69.0,15.0
335992.0,5.0,32.0,76.0
335992.0,5.0,34.0,17.0
335992.0,5.0,35.0,36.0
335993.0,8.0,53.0,8.0
335993.0,8.0,54.0,14.0
335993.0,8.0,55.0,2.0
335993.0,8.0,56.0,12.0
335993.0,8.0,57.0,66.0
335993.0,8.0,70.0,2.0
335993.0,8.0,59.0,8.0
335993.0,8.0,232.0,12.0
335993.0,8.0,60.0,12.0
335993.0,8.0,61.0,1.0
335993.0,6.0,40.0,12.0
335993.0,6.0,41.0,94.0
335993.0,6.0,42.0,25.0
335994.0,3.0,17.0,14.0
335994.0,3.0,18.0,81.0
335994.0,3.0,19.0,5.0
335994.0,3.0,21.0,53.0
335994.0,3.0,20.0,30.0
335994.0,3.0,22.0,5.0
335994.0,3.0,23.0,2.0
335994.0,7.0,43.0,2.0
335994.0,7.0,44.0,20.0
335994.0,7.0,46.0,43.0
335994.0,7.0,49.0,17.0
335994.0,7.0,71.0,24.0
335994.0,7.0,48.0,45.0
335994.0,7.0,72.0,9.0
335994.0,7.0,50.0,28.0
335994.0,7.0,73.0,1.0
335995.0,8.0,53.0,13.0
335995.0,8.0,55.0,16.0
335995.0,8.0,70.0,10.0
335995.0,8.0,56.0,117.0
335995.0,8.0,57.0,36.0
335995.0,8.0,232.0,16.0
335995.0,5.0,69.0,12.0
335995.0,5.0,74.0,71.0
335995.0,5.0,31.0,61.0
335995.0,5.0,32.0,4.0
335995.0,5.0,33.0,34.0
335995.0,5.0,35.0,1.0
335995.0,5.0,38.0,22.0
335995.0,5.0,37.0,1.0
335995.0,5.0,75.0,4.0
335996.0,4.0,24.0,18.0
335996.0,4.0,29.0,6.0
335996.0,4.0,26.0,94.0
335996.0,4.0,27.0,18.0
335996.0,4.0,76.0,7.0
335996.0,4.0,64.0,12.0
335996.0,4.0,65.0,0.0
335996.0,4.0,66.0,16.0
335996.0,4.0,67.0,0.0
335996.0,4.0,77.0,0.0
335996.0,4.0,78.0,4.0
335996.0,7.0,43.0,11.0
335996.0,7.0,44.0,1.0
335996.0,7.0,46.0,21.0
335996.0,7.0,71.0,23.0
335996.0,7.0,79.0,17.0
335996.0,7.0,49.0,22.0
335996.0,7.0,48.0,2.0
335996.0,7.0,50.0,0.0
335996.0,7.0,72.0,8.0
335996.0,7.0,80.0,2.0
335996.0,7.0,73.0,2.0
335997.0,2.0,51.0,2.0
335997.0,2.0,6.0,0.0
335997.0,2.0,52.0,44.0
335997.0,2.0,9.0,11.0
335997.0,2.0,8.0,13.0
335997.0,2.0,11.0,4.0
335997.0,2.0,14.0,34.0
335997.0,2.0,16.0,3.0
335997.0,2.0,15.0,17.0
335997.0,2.0,81.0,1.0
335997.0,5.0,74.0,49.0
335997.0,5.0,36.0,0.0
335997.0,5.0,31.0,21.0
335997.0,5.0,32.0,61.0
335997.0,5.0,33.0,4.0
335998.0,1.0,1.0,12.0
335998.0,1.0,2.0,24.0
335998.0,1.0,3.0,0.0
335998.0,1.0,62.0,27.0
335998.0,1.0,4.0,0.0
335998.0,1.0,5.0,16.0
335998.0,1.0,63.0,42.0
335998.0,1.0,82.0,11.0
335998.0,1.0,83.0,3.0
335998.0,1.0,84.0,4.0
335998.0,3.0,17.0,21.0
335998.0,3.0,18.0,70.0
335998.0,3.0,20.0,43.0
335999.0,7.0,43.0,13.0
335999.0,7.0,44.0,18.0
335999.0,7.0,85.0,0.0
335999.0,7.0,46.0,6.0
335999.0,7.0,49.0,31.0
335999.0,7.0,48.0,34.0
335999.0,7.0,71.0,34.0
335999.0,7.0,72.0,7.0
335999.0,8.0,53.0,109.0
335999.0,8.0,55.0,37.0
336000.0,6.0,40.0,18.0
336000.0,6.0,41.0,6.0
336000.0,6.0,42.0,0.0
