Match_Id,Team_Batting_Id,Striker_Id,Unnamed: 0,Batsman_Scored
335987,1,1,0,0
335987,1,2,1,0
335987,1,2,2,0
335987,1,2,3,0
335987,1,2,4,0
335987,1,2,5,0
335987,1,2,6,0
335987,1,2,7,0
335987,1,2,8,4
335987,1,2,9,4
335987,1,2,10,6
335987,1,2,11,4
335987,1,2,12,0
335987,1,1,13,0
335987,1,1,14,0
335987,1,1,15,0
335987,1,2,16,4
335987,1,2,17,1
335987,1,1,18,0
335987,1,2,19,0
335987,1,2,20,6
335987,1,2,21,0
335987,1,1,22,4
335987,1,1,23,0
335987,1,1,24,1
335987,1,2,25,6
335987,1,1,26,4
335987,1,1,27,1
335987,1,2,28,4
335987,1,2,29,0
335987,1,2,30,1
335987,1,1,31,0
335987,1,2,32,1
335987,1,1,33,0
335987,1,3,34,0
335987,1,3,35,0
335987,1,3,36,0
335987,1,3,37,0
335987,1,2,38,1
335987,1,3,39,1
335987,1,2,40,1
335987,1,3,41,2
335987,1,3,42,1
335987,1,2,43,1
335987,1,2,44,0
335987,1,2,45,1
335987,1,3,46,1
335987,1,2,47,1
335987,1,3,48,1
335987,1,2,49,1
335987,1,2,50,0
335987,1,2,51,0
335987,1,2,52,0
335987,1,2,53,1
335987,1,3,54,1
335987,1,2,55,2
335987,1,3,56,1
335987,1,2,57,1
335987,1,3,58,1
335987,1,2,59,0
335987,1,2,60,6
335987,1,2,61,1
335987,1,2,62,1
335987,1,3,63,4
335987,1,3,64,0
335987,1,3,65,6
335987,1,3,66,0
335987,1,3,67,0
335987,1,2,68,0
335987,1,2,69,6
335987,1,2,70,2
335987,1,2,71,1
335987,1,3,72,0
335987,1,3,73,1
335987,1,3,74,0
335987,1,2,75,4
335987,1,2,76,0
335987,1,2,77,2
335987,1,2,78,0
335987,1,2,79,4
335987,1,2,80,1
335987,1,2,81,1
335987,1,4,82,0
335987,1,4,83,1
335987,1,2,84,1
335987,1,4,85,1
335987,1,2,86,2
335987,1,4,87,4
335987,1,4,88,1
335987,1,2,89,6
335987,1,2,90,4
335987,1,2,91,0
335987,1,4,92,1
335987,1,2,93,6
