,Match_Id,Team_Batting_Id,Striker_Id,Batsman_Scored
0,335987,1,1,0
1,335987,1,2,0
2,335987,1,2,0
3,335987,1,2,0
4,335987,1,2,0
5,335987,1,2,0
6,335987,1,2,0
7,335987,1,2,0
8,335987,1,2,4
9,335987,1,2,4
10,335987,1,2,6
11,335987,1,2,4
12,335987,1,2,0
13,335987,1,1,0
14,335987,1,1,0
15,335987,1,1,0
16,335987,1,2,4
17,335987,1,2,1
18,335987,1,1,0
19,335987,1,2,0
20,335987,1,2,6
21,335987,1,2,0
22,335987,1,1,4
23,335987,1,1,0
24,335987,1,1,1
25,335987,1,2,6
26,335987,1,1,4
27,335987,1,1,1
28,335987,1,2,4
29,335987,1,2,0
30,335987,1,2,1
31,335987,1,1,0
32,335987,1,2,1
33,335987,1,1,0
34,335987,1,3,0
35,335987,1,3,0
36,335987,1,3,0
37,335987,1,3,0
38,335987,1,2,1
39,335987,1,3,1
40,335987,1,2,1
41,335987,1,3,2
42,335987,1,3,1
43,335987,1,2,1
44,335987,1,2,0
45,335987,1,2,1
46,335987,1,3,1
47,335987,1,2,1
48,335987,1,3,1
49,335987,1,2,1
50,335987,1,2,0
51,335987,1,2,0
52,335987,1,2,0
53,335987,1,2,1
54,335987,1,3,1
55,335987,1,2,2
56,335987,1,3,1
57,335987,1,2,1
58,335987,1,3,1
59,335987,1,2,0
60,335987,1,2,6
61,335987,1,2,1
62,335987,1,2,1
63,335987,1,3,4
64,335987,1,3,0
65,335987,1,3,6
66,335987,1,3,0
67,335987,1,3,0
68,335987,1,2,0
69,335987,1,2,6
70,335987,1,2,2
71,335987,1,2,1
72,335987,1,3,0
73,335987,1,3,1
74,335987,1,3,0
75,335987,1,2,4
76,335987,1,2,0
77,335987,1,2,2
78,335987,1,2,0
79,335987,1,2,4
80,335987,1,2,1
81,335987,1,2,1
82,335987,1,4,0
83,335987,1,4,1
84,335987,1,2,1
85,335987,1,4,1
86,335987,1,2,2
87,335987,1,4,4
88,335987,1,4,1
89,335987,1,2,6
90,335987,1,2,4
91,335987,1,2,0
92,335987,1,4,1
93,335987,1,2,6
94,335987,1,4,0
95,335987,1,4,1
96,335987,1,2,2
97,335987,1,2,0
98,335987,1,2,1
99,335987,1,4,0
100,335987,1,2,1
101,335987,1,4,2
102,335987,1,4,1
103,335987,1,2,6
104,335987,1,2,2
105,335987,1,2,2
106,335987,1,4,0
107,335987,1,2,1
108,335987,1,5,0
109,335987,1,5,1
110,335987,1,2,4
111,335987,1,2,1
112,335987,1,2,6
113,335987,1,2,0
114,335987,1,2,6
115,335987,1,2,4
116,335987,1,2,1
117,335987,1,5,4
118,335987,1,2,6
119,335987,1,2,6
120,335987,1,2,2
121,335987,1,2,0
122,335987,1,2,2
123,335987,1,2,6
124,335987,2,6,1
125,335987,2,7,0
126,335987,2,7,0
127,335987,2,7,1
128,335987,2,6,1
129,335987,2,7,0
130,335987,2,7,0
131,335987,2,6,0
132,335987,2,8,0
133,335987,2,8,0
134,335987,2,8,1
135,335987,2,7,0
136,335987,2,7,0
137,335987,2,8,0
138,335987,2,8,0
139,335987,2,9,1
140,335987,2,7,0
141,335987,2,7,0
142,335987,2,7,0
143,335987,2,7,1
144,335987,2,7,2
145,335987,2,7,1
146,335987,2,9,0
147,335987,2,9,0
148,335987,2,7,0
149,335987,2,7,0
150,335987,2,9,1
151,335987,2,7,1
152,335987,2,9,0
153,335987,2,9,6
154,335987,2,9,0
155,335987,2,10,0
156,335987,2,7,0
157,335987,2,7,0
158,335987,2,11,0
159,335987,2,11,1
160,335987,2,10,1
161,335987,2,11,0
162,335987,2,10,0
163,335987,2,10,0
164,335987,2,10,1
165,335987,2,11,0
166,335987,2,11,0
167,335987,2,11,0
168,335987,2,11,0
169,335987,2,11,4
170,335987,2,10,1
171,335987,2,11,0
172,335987,2,10,1
173,335987,2,11,2
174,335987,2,11,0
175,335987,2,10,0
176,335987,2,12,0
177,335987,2,12,0
